Sheet 1: PROJECT CATALYST FUND 9 METRICS - FINAL
,,,,
,,,,
,,,,
PROPOSALS,1105,,,
CHALLENGE FUND PROPOSALS,61,,,
,,,,
,,,,
PROPOSAL SCORES,VOTED,SPONSORED,,
AVG SCORE,4.11,4.37,,
MEDIAN SCORE,4.33,4.47,,
MIN SCORE,1.06,2.21,,
MAX SCORE,5.00,5.00,,
,,,,
,,,,
VOTES PER PROPOSAL,VOTED,SPONSORED,,
AVG VOTES,312,331,,
MEDIAN VOTES,231,293,,
MIN VOTES,110,135,,
MAX VOTES,2572,1152,,
,,,,
,,,,
ADA PER WALLET,,,,
AVG ADA/WALLET,321880,,,
MEDIAN ADA/WALLET,255192,,,
MIN ADA/WALLET,86204,,,
MAX ADA/WALLET,804495,,,
,,,,
,,,,
FUNDED PROPOSAL COUNT,,,,
TOTAL (VOTE) FUNDED,223,,,
TOTAL (SPONSOR) FUNDED,3,,,
TOTAL,226,,,
,,,,
,,,,
PROPOSAL BUDGETS,VOTED,SPONSORED,,
AVG BUDGET,"$129,865.45","$42,411.49",,
MEDIAN BUDGET,"$41,000.00","$27,900.00",,
MIN BUDGET,$100.00,$600.00,,
MAX BUDGET,"$12,800,000.00","$375,000.00",,
,,,,
,,,,
FUNDING,,,,
TOTAL (VOTE) FUNDED,"$12,939,102.00",223,,
TOTAL (SPONSOR) FUNDED,"$54,337.00",3,,
TOTALS,$12993439.00,226,,
AVG (ALL) AMOUNT FUNDED,"$57,493.09",,,
,,,,
,,,,
FUNDING METRICS,VOTED,SPONSORED,,
MIN FUNDED,$100,"$12,000.00",,
MAX FUNDED,"$759,000","$28,837.00",,
AVG FUNDED,"$60,747","$18,112.33",,

All Proposals: Table 1
Proposal,Overall score,Votes cast,YES,NO,Result,Meets approval threshold,REQUESTED $,STATUS,FUND DEPLETION,Reason for not funded status,,AVG ADA /VOTE
MLabs - CTL Blockfrost Backend,4.50,617,226478708,22337961,204140747,YES,"$50,000",FUNDED,$0,,,403269
Unreal Engine Integration,4.71,827,161663743,20577958,141085785,YES,"$13,500",NOT FUNDED,$0,Over Budget,,220365
"CardanoPress, A Plugin for Builders",4.59,698,150513144,20488861,130024283,YES,"$12,000",NOT FUNDED,$0,Over Budget,,244989
Google Search Blockfrost,4.24,398,84660894,27637796,57023098,YES,"$12,000",NOT FUNDED,$0,Over Budget,,282158
Tutorial on Building a wallet,3.22,276,56741590,16086383,40655207,YES,"$2,200",NOT FUNDED,$0,Over Budget,,263869
A Verify and Pay System,3.61,278,56389534,22424187,33965347,YES,"$12,500",NOT FUNDED,$0,Over Budget,,283503
Watch Wallet for Cardano,3.88,351,62586549,31053704,31532845,YES,"$12,584",NOT FUNDED,$0,Over Budget,,266781
Cardano Script Explorer 🔎📜,2.21,276,42872220,20597671,22274549,YES,$600,NOT FUNDED,$0,Over Budget,,229963
Digital Twin platform,3.73,242,39084826,29501513,9583313,YES,"$5,000",NOT FUNDED,$0,Over Budget,,283415
Scoring Social/Environmental Impact,4.80,564,189875823,24863433,165012390,YES,"$48,400",FUNDED,"$151,600",,,380743
STUDENTS TAKING THE PLUTUS PLB,4.80,577,130240289,15897006,114343283,YES,"$10,120",FUNDED,"$141,480",,,253271
Impact monetization 4 entrepreneurs,4.83,518,103972002,18130982,85841020,YES,"$20,000",FUNDED,"$121,480",,,235720
Education impact and monetization,4.78,375,80292632,4997422,75295210,YES,"$21,273",FUNDED,"$100,207",,,227440
Harvesting AirWater for Agriculture,4.80,486,86929072,19263701,67665371,YES,"$11,000",FUNDED,"$89,207",,,218504
Wada Web3 Education DAO Valuation,4.72,345,70954189,20312770,50641419,YES,"$30,000",FUNDED,"$59,207",,,264542
Algae Token a Sustainable Future,4.73,393,64111252,23391037,40720215,YES,"$27,950",FUNDED,"$31,257",,,222652
"e-Learning DAO,Revenue share policy",4.53,283,53247317,18785705,34461612,YES,"$10,000",FUNDED,"$21,257",,,254534
Dashboard of Impact Tools,4.50,288,53447615,19067568,34380047,YES,"$30,000",NOT FUNDED,"$21,257",Over Budget,,251789
Impact Measurement For Businesses,4.67,303,51456930,19399770,32057160,YES,"$15,000",FUNDED,"$6,257",,,233850
